English,Japanese
Machine Learning,機械学習
Deep Learning,深層学習
Neural Network,ニューラルネットワーク
Generative AI,生成AI
Large Language Model,大規模言語モデル (LLM)
Feature,特徴量
Weight,重み
Bias,バイアス / 偏置
Variance,バリアンス / 分散
Accuracy,正解率
Precision,適合率
Recall,再現率
IoU (Intersection over Union),IoU
Instance,インスタンス / サンプル
Label,正解ラベル / 教師データ
Noise,ノイズ
Data Augmentation,データ拡張
Overfitting,過学習
Underfitting,未学習
Validation,検証（検証用データ）
Epoch,エポック
Batch,バッチ
Loss,損失 / 誤差
Gradient,勾配
Layer,レイヤー / 層
Hidden Layer,隠れ層 / 中間層
Computer Vision,コンピュータビジョン
Classification,画像分類
Detection,物体検出
Segmentation,セグメンテーション（領域分割）
Bounding Box,バウンディングボックス
Hallucination,ハルシネーション
Prompt,プロンプト
Token,トークン
Embedding,埋め込み / エンベディング
Corpus,コーパス
Environment,環境
State,状態
Reward,報酬
Policy,方策 / ポリシー
Attention Mechanism,アテンション機構 / 注意機構
Self-Attention,自己アテンション / セルフアテンション
Query,クエリ
Key,キー
Value,バリュー
Encoder,エンコーダ
Decoder,デコーダ
Sequence Transduction,系列変換
Multi-Head Attention,マルチヘッド・アテンション
Scaled Dot-Product Attention,スケール化ドット積アテンション
Positional Encoding,位置エンコーディング
Residual Connection,残差接続
Layer Normalization,層正規化 / レイヤー正規化
Feed-Forward Network,フィードフォワード・ネットワーク / 順伝播型ネットワーク
Auto-regressive,自己回帰
Byte-Pair Encoding (BPE),バイト対符号化 / BPE
Label Smoothing,ラベルスムージング / ラベル平滑化
Beam Search,ビームサーチ
Constituency Parsing,句構造解析
Generalize,汎化する
Converge,収束する
Deploy,デプロイする / 実装する
Propagate,伝播（でんぱ）させる
English,Japanese
Vector,ベクトル
Matrix,行列
Tensor,テンソル
Scalar,スカラー
Eigenvalue,固有値
Eigenvector,固有ベクトル
Derivative,導関数 / 微分
Partial Derivative,偏微分
Cross Entropy,交差エントロピー
Regularization,正則化
L1 Regularization,L1正則化
L2 Regularization,L2正則化
Curse of Dimensionality,次元の呪い
Manifold Learning,多様体学習
Saddle Point,鞍点
Local Minimum,局所的最小値
Global Minimum,大域的最小値
Prior Distribution,事前分布
Posterior Distribution,事後分布
Likelihood,尤度
Maximum Likelihood Estimation (MLE),最尤推定
Maximum A Posteriori Estimation (MAP),最大事後確率推定
Decision Tree,決定木
Random Forest,ランダムフォレスト
Support Vector Machine (SVM),サポートベクターマシン
K-Means Clustering,K-meansクラスタリング / K平均法
Principal Component Analysis (PCA),主成分分析
Naive Bayes,ナイーブベイズ
K-Nearest Neighbors (KNN),K近傍法
Gradient Boosting,勾配ブースティング
Ensemble Learning,アンサンブル学習
Bagging,バギング
Boosting,ブースティング
Supervised Learning,教師あり学習
Unsupervised Learning,教師なし学習
Semi-supervised Learning,半教師あり学習
Self-supervised Learning,自己教師あり学習
Active Learning,能動学習 / アクティブラーニング
Outlier Detection,外れ値検知
Anomaly Detection,異常検知
Time Series Analysis,時系列分析
Recurrent Neural Network (RNN),再帰型ニューラルネットワーク
